ID,week,column_or_record,issue,evidence,decision,reason,rule,scope_rows,changed_rows,history_status,original_decision_date
CL001,3,Student ID,ID có số 0 đầu,src/analyze.py; docs/report+bao_cao.md; outputs/metrics+chi_so.json,Đọc dạng chuỗi,Bảo toàn định danh,Không đổi sang số; không pad,1022060,0,Tổng hợp lại từ bằng chứng Week 3; ngày gốc chưa rõ,
CL002,3,9 cột điểm,Điểm 0 có thật trong CSV,src/analyze.py; docs/report+bao_cao.md; outputs/metrics+chi_so.json,Giữ 0,0 không phải ký hiệu thiếu,Không đổi 0 thành null,152,0,Tổng hợp lại từ bằng chứng Week 3; ngày gốc chưa rõ,
CL003,3,Mathematics,Dữ liệu thiếu,outputs/tables/missing_treatment+cach_xu_ly_thieu.csv,Giữ null,Chưa xác định nguyên nhân từng ô; không có nguồn điểm thay thế,Không điền vào dữ liệu chính,18687,0,Tổng hợp lại từ bằng chứng Week 3; ngày gốc chưa rõ,
CL004,3,Literature,Dữ liệu thiếu,outputs/tables/missing_treatment+cach_xu_ly_thieu.csv,Giữ null,Chưa xác định nguyên nhân từng ô; không có nguồn điểm thay thế,Không điền vào dữ liệu chính,13821,0,Tổng hợp lại từ bằng chứng Week 3; ngày gốc chưa rõ,
CL005,3,Foreign language,Dữ liệu thiếu,outputs/tables/missing_treatment+cach_xu_ly_thieu.csv,Giữ null,Chưa xác định nguyên nhân từng ô; không có nguồn điểm thay thế,Không điền vào dữ liệu chính,141063,0,Tổng hợp lại từ bằng chứng Week 3; ngày gốc chưa rõ,
CL006,3,Physics,Dữ liệu thiếu,outputs/tables/missing_treatment+cach_xu_ly_thieu.csv,Giữ null,Chưa xác định nguyên nhân từng ô; không có nguồn điểm thay thế,Không điền vào dữ liệu chính,694871,0,Tổng hợp lại từ bằng chứng Week 3; ngày gốc chưa rõ,
CL007,3,Chemistry,Dữ liệu thiếu,outputs/tables/missing_treatment+cach_xu_ly_thieu.csv,Giữ null,Chưa xác định nguyên nhân từng ô; không có nguồn điểm thay thế,Không điền vào dữ liệu chính,693942,0,Tổng hợp lại từ bằng chứng Week 3; ngày gốc chưa rõ,
CL008,3,Biology,Dữ liệu thiếu,outputs/tables/missing_treatment+cach_xu_ly_thieu.csv,Giữ null,Chưa xác định nguyên nhân từng ô; không có nguồn điểm thay thế,Không điền vào dữ liệu chính,697435,0,Tổng hợp lại từ bằng chứng Week 3; ngày gốc chưa rõ,
CL009,3,History,Dữ liệu thiếu,outputs/tables/missing_treatment+cach_xu_ly_thieu.csv,Giữ null,Chưa xác định nguyên nhân từng ô; không có nguồn điểm thay thế,Không điền vào dữ liệu chính,338613,0,Tổng hợp lại từ bằng chứng Week 3; ngày gốc chưa rõ,
CL010,3,Geography,Dữ liệu thiếu,outputs/tables/missing_treatment+cach_xu_ly_thieu.csv,Giữ null,Chưa xác định nguyên nhân từng ô; không có nguồn điểm thay thế,Không điền vào dữ liệu chính,339926,0,Tổng hợp lại từ bằng chứng Week 3; ngày gốc chưa rõ,
CL011,3,Civic education,Dữ liệu thiếu,outputs/tables/missing_treatment+cach_xu_ly_thieu.csv,Giữ null,Chưa xác định nguyên nhân từng ô; không có nguồn điểm thay thế,Không điền vào dữ liệu chính,456608,0,Tổng hợp lại từ bằng chứng Week 3; ngày gốc chưa rõ,
CL012,3,Foreign language code,Dữ liệu thiếu,outputs/tables/missing_treatment+cach_xu_ly_thieu.csv,Giữ null,Chưa xác định nguyên nhân từng ô; không có nguồn điểm thay thế,Không điền vào dữ liệu chính,141063,0,Tổng hợp lại từ bằng chứng Week 3; ngày gốc chưa rõ,
