column,missing_n,missing_pct,mechanism_hypothesis,treatment,reason,certainty,structural_candidate_opposite_group_n,unresolved_observed_group_n,unresolved_no_group_n,opposite_only_missing_n,neither_missing_n,own_group_missing_n,both_group_missing_n
Mathematics,18687,1.8283662407295072,Unresolved; group association makes MCAR across all rows implausible; MAR/MNAR unverified,Keep null; describe published Math scores with n,"Registration, absence and source-record status are unavailable.",Hypothesis; candidate-level cause unverified,0,13800,4887,,,,
Literature,13821,1.3522689470285503,Unresolved; group association makes MCAR across all rows implausible; MAR/MNAR unverified,Keep null; describe published Literature scores with n,"Registration, absence and source-record status are unavailable.",Hypothesis; candidate-level cause unverified,0,9063,4758,,,,
Foreign language,141063,13.801831595013992,"Unresolved mixture of non-registration, exemption, absence or recording gaps",Keep null; report score and code missingness together,"Score and code are jointly blank; program, registration and exemption are unknown.",Hypothesis; candidate-level cause unverified,0,135940,5123,,,,
Physics,694871,67.98730015850342,Structural candidate in opposite observed group; other blanks unresolved,Keep null; report by observed subject context,Observed subject patterns suggest exam choice; registration and program are unknown.,Hypothesis; candidate-level cause unverified,683813,2241,8817,683813.0,8817.0,2241.0,0.0
Chemistry,693942,67.89640529910181,Structural candidate in opposite observed group; other blanks unresolved,Keep null; report by observed subject context,Observed subject patterns suggest exam choice; registration and program are unknown.,Hypothesis; candidate-level cause unverified,683813,1312,8817,683813.0,8817.0,1312.0,0.0
Biology,697435,68.23816605678728,Structural candidate in opposite observed group; other blanks unresolved,Keep null; report by observed subject context,Observed subject patterns suggest exam choice; registration and program are unknown.,Hypothesis; candidate-level cause unverified,683813,4805,8817,683813.0,8817.0,4805.0,0.0
History,338613,33.130442439778484,Structural candidate in opposite observed group; other blanks unresolved,Keep null; report by observed subject context,Observed subject patterns suggest exam choice; registration and program are unknown.,Hypothesis; candidate-level cause unverified,329430,366,8817,329430.0,8817.0,366.0,0.0
Geography,339926,33.25890847895427,Structural candidate in opposite observed group; other blanks unresolved,Keep null; report by observed subject context,Observed subject patterns suggest exam choice; registration and program are unknown.,Hypothesis; candidate-level cause unverified,329430,1679,8817,329430.0,8817.0,1679.0,0.0
Civic education,456608,44.675263683149716,Structural candidate opposite social group; social blanks may also be non-applicable for GDTX,Keep null; distinguish opposite-group and within-social missingness,2023 GDTX social exam omitted Civic education; this CSV has no candidate-level program flag.,Hypothesis; candidate-level cause unverified,329430,118361,8817,329430.0,8817.0,118361.0,0.0
Foreign language code,141063,13.801831595013992,Matches Foreign language score missingness; reason unverified,Keep null,No evidence supports assigning the most common observed code.,Hypothesis; candidate-level cause unverified,0,135940,5123,,,,
